"","Case","Scen_8_1_a","Scen_15_1_a","Scen_38_1_a","Scen_56_1_a","Scen_79_1_a","Scen_8_3_a","Scen_15_3_a","Scen_38_3_a","Scen_56_3_a","Scen_79_3_a","Scen_8_5_a","Scen_15_5_a","Scen_38_5_a","Scen_56_5_a","Scen_79_5_a","Cases_continuous"
"105","10",0.1,0.177,0.379,0.514,0.634,0,0.001,0.011,0.02,0.084,0,0,0,0,0.002,10
"106","10",0.097,0.168,0.397,0.481,0.647,0,0,0.01,0.031,0.062,0,0,0,0,0.003,10
"107","10",0.091,0.171,0.379,0.545,0.655,0,0,0.012,0.028,0.058,0,0,0,0,0.001,10
"108","10",0.095,0.195,0.399,0.523,0.654,0,0.001,0.011,0.029,0.058,0,0,0,0,0.001,10
"109","10",0.099,0.152,0.397,0.509,0.668,0,0.001,0.01,0.03,0.06,0,0,0,0,0.001,10
"110","10",0.113,0.166,0.385,0.513,0.642,0,0,0.007,0.034,0.073,0,0,0,0.001,0.001,10
"111","11",0.097,0.166,0.436,0.545,0.68,0,0.001,0.011,0.04,0.08,0,0,0,0,0.002,11
"112","11",0.097,0.18,0.423,0.55,0.648,0,0,0.015,0.049,0.089,0,0,0,0.001,0,11
"113","11",0.106,0.198,0.44,0.596,0.701,0,0,0.014,0.039,0.113,0,0,0,0,0.002,11
"114","11",0.106,0.169,0.436,0.535,0.645,0,0,0.012,0.042,0.083,0,0,0,0.003,0,11
"115","11",0.103,0.193,0.402,0.558,0.681,0,0.002,0.015,0.044,0.086,0,0,0,0,0.002,11
"116","11",0.102,0.193,0.421,0.549,0.701,0,0.002,0.019,0.037,0.077,0,0,0,0.001,0.002,11
"117","11",0.096,0.166,0.43,0.56,0.684,0,0.001,0.016,0.042,0.089,0,0,0,0,0.008,11
"118","11",0.087,0.179,0.433,0.536,0.69,0,0,0.014,0.044,0.083,0,0,0,0,0.001,11
"119","11",0.105,0.167,0.392,0.575,0.704,0,0,0.013,0.03,0.081,0,0,0,0.001,0.002,11
"120","11",0.114,0.169,0.42,0.542,0.657,0,0,0.01,0.038,0.103,0,0,0,0,0.006,11
"121","12",0.094,0.206,0.433,0.569,0.725,0,0,0.01,0.041,0.112,0,0,0,0,0.002,12
"122","12",0.116,0.204,0.468,0.572,0.692,0,0.001,0.022,0.056,0.088,0,0,0,0.001,0.006,12
"123","12",0.114,0.203,0.419,0.586,0.711,0,0.003,0.027,0.056,0.119,0,0,0,0.002,0.009,12
"124","12",0.113,0.203,0.443,0.564,0.7,0,0.001,0.02,0.049,0.101,0,0,0,0,0.002,12
"125","12",0.12,0.223,0.464,0.589,0.69,0,0.002,0.016,0.049,0.11,0,0,0,0,0.004,12
"126","12",0.109,0.187,0.435,0.598,0.69,0.001,0.003,0.017,0.053,0.103,0,0,0,0,0.002,12
"127","12",0.116,0.193,0.455,0.587,0.727,0,0,0.024,0.048,0.11,0,0,0,0,0.005,12
"128","12",0.088,0.195,0.454,0.574,0.724,0,0.001,0.016,0.048,0.094,0,0,0,0,0.004,12
"129","12",0.112,0.23,0.425,0.584,0.731,0,0,0.018,0.047,0.106,0,0,0,0.001,0.008,12
"130","12",0.119,0.205,0.448,0.603,0.718,0,0.001,0.01,0.034,0.104,0,0,0,0,0.004,12
"131","13",0.118,0.217,0.49,0.609,0.716,0,0,0.028,0.064,0.13,0,0,0.001,0.003,0.005,13
